Season,Team,TradeCount
2020,Oklahoma City Thunder,15
2020,Detroit Pistons,10
2020,Houston Rockets,9
2020,New York Knicks,7
2020,Cleveland Cavaliers,6
2020,Boston Celtics,6
2020,Utah Jazz,6
2020,Sacramento Kings,6
2020,Milwaukee Bucks,5
2020,Philadelphia 76ers,4
2020,Los Angeles Clippers,4
2020,Orlando Magic,4
2020,Denver Nuggets,4
2020,New Orleans Pelicans,4
2020,Portland Trail Blazers,3
2020,Atlanta Hawks,3
2020,Miami Heat,3
2020,Charlotte Hornets,3
2020,Dallas Mavericks,3
2020,Toronto Raptors,3
2020,Minnesota Timberwolves,3
2020,Golden State Warriors,3
2020,Washington Wizards,3
2020,Chicago Bulls,2
2020,Memphis Grizzlies,2
2020,Los Angeles Lakers,2
2020,Brooklyn Nets,2
2020,Indiana Pacers,2
2020,Phoenix Suns,2
2020,San Antonio Spurs,1
2021,Memphis Grizzlies,10
2021,Indiana Pacers,9
2021,San Antonio Spurs,9
2021,Boston Celtics,8
2021,New York Knicks,8
2021,Brooklyn Nets,7
2021,Oklahoma City Thunder,7
2021,Los Angeles Clippers,6
2021,Charlotte Hornets,6
2021,Utah Jazz,6
2021,New Orleans Pelicans,6
2021,Houston Rockets,6
2021,Minnesota Timberwolves,6
2021,Portland Trail Blazers,5
2021,Cleveland Cavaliers,5
2021,Sacramento Kings,5
2021,Milwaukee Bucks,4
2021,Chicago Bulls,4
2021,Atlanta Hawks,4
2021,Los Angeles Lakers,4
2021,Dallas Mavericks,4
2021,Detroit Pistons,4
2021,Washington Wizards,4
2021,Philadelphia 76ers,3
2021,Orlando Magic,3
2021,Denver Nuggets,3
2021,Phoenix Suns,3
2021,Miami Heat,2
2021,Toronto Raptors,2
2021,Golden State Warriors,2
2022,Boston Celtics,8
2022,Atlanta Hawks,6
2022,Detroit Pistons,6
2022,Washington Wizards,6
2022,Utah Jazz,5
2022,Los Angeles Lakers,5
2022,San Antonio Spurs,5
2022,Portland Trail Blazers,4
2022,Denver Nuggets,4
2022,Indiana Pacers,4
2022,Phoenix Suns,4
2022,Oklahoma City Thunder,4
2022,Los Angeles Clippers,3
2022,Charlotte Hornets,3
2022,Sacramento Kings,3
2022,New York Knicks,3
2022,Brooklyn Nets,3
2022,Houston Rockets,3
2022,Minnesota Timberwolves,3
2022,Milwaukee Bucks,2
2022,Memphis Grizzlies,2
2022,Orlando Magic,2
2022,Golden State Warriors,2
2022,Philadelphia 76ers,1
2022,Chicago Bulls,1
2022,Cleveland Cavaliers,1
2022,Miami Heat,1
2022,Dallas Mavericks,1
2022,New Orleans Pelicans,1
2022,Toronto Raptors,1
2023,Oklahoma City Thunder,11
2023,Detroit Pistons,8
2023,New York Knicks,7
2023,Dallas Mavericks,7
2023,Phoenix Suns,7
2023,Houston Rockets,6
2023,Philadelphia 76ers,5
2023,Portland Trail Blazers,5
2023,Boston Celtics,5
2023,Los Angeles Clippers,5
2023,Memphis Grizzlies,5
2023,Sacramento Kings,5
2023,Brooklyn Nets,5
2023,Indiana Pacers,5
2023,Toronto Raptors,5
2023,San Antonio Spurs,5
2023,Washington Wizards,5
2023,Atlanta Hawks,4
2023,Miami Heat,4
2023,Utah Jazz,4
2023,Milwaukee Bucks,3
2023,Charlotte Hornets,3
2023,Golden State Warriors,3
2023,Cleveland Cavaliers,2
2023,Orlando Magic,2
2023,Denver Nuggets,2
2023,New Orleans Pelicans,2
2023,Minnesota Timberwolves,2
2023,Chicago Bulls,1
2024,Charlotte Hornets,8
2024,Washington Wizards,8
2024,Utah Jazz,7
2024,Atlanta Hawks,6
2024,Sacramento Kings,6
2024,New Orleans Pelicans,6
2024,San Antonio Spurs,6
2024,Los Angeles Clippers,5
2024,Memphis Grizzlies,5
2024,New York Knicks,5
2024,Phoenix Suns,5
2024,Oklahoma City Thunder,5
2024,Philadelphia 76ers,4
2024,Dallas Mavericks,4
2024,Brooklyn Nets,4
2024,Indiana Pacers,4
2024,Detroit Pistons,4
2024,Toronto Raptors,4
2024,Golden State Warriors,4
2024,Portland Trail Blazers,3
2024,Minnesota Timberwolves,3
2024,Milwaukee Bucks,2
2024,Chicago Bulls,2
2024,Boston Celtics,2
2024,Miami Heat,2
2024,Los Angeles Lakers,2
2024,Orlando Magic,2
2024,Houston Rockets,2
2024,Cleveland Cavaliers,1
2024,Denver Nuggets,1
2025,Chicago Bulls,3
2025,Atlanta Hawks,4
2025,Brooklyn Nets,4
2025,Boston Celtics,3
2025,Memphis Grizzlies,2
2025,Miami Heat,3
2025,Sacramento Kings,2
2025,Denver Nuggets,2
2025,Indiana Pacers,2
2025,Detroit Pistons,2
2025,Houston Rockets,2
2025,San Antonio Spurs,2
2025,Phoenix Suns,2
2025,Minnesota Timberwolves,2
2025,Golden State Warriors,2
2025,Washington Wizards,2
2025,Portland Trail Blazers,1
2025,Milwaukee Bucks,1
2025,Cleveland Cavaliers,1
2025,Los Angeles Clippers,1
2025,Utah Jazz,2
2025,Los Angeles Lakers,1
2025,New Orleans Pelicans,1
